#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#172XX;;;;;;;;;;;;;;
#PW205B;;;;;;;;;;;;;;
#;18001;0;0;400000;0;1;1;1;1;0;1;0;0;1
#;18003;0;0;2070000;0;1;1;1;1;0;1;0;0;1
#;18006;0;0;2130000;0;1;1;1;1;0;1;0;0;1
#;18007;0;0;720000;0;1;1;1;1;0;1;0;0;1
;18008;0;0;830000;0;1;1;1;1;0;1;1;1;1
#S129
#;18000;0;0;400000;0;1;1;1;1;0;1;0;0;1
#;18002;0;0;400000;0;1;1;1;1;0;1;0;0;1
#;18005;0;0;1250000;0;1;1;1;1;0;1;0;0;1
#
#;180010;0;0;400000;0;1;1;1;1;0;1;0;0;0
#;180000;0;0;400000;0;1;1;1;1;0;1;0;0;0
#;180070;0;0;720000;0;1;1;1;1;0;1;0;0;0
;180080;0;0;830000;0;1;1;1;1;0;1;5;0;0
#;180060;0;0;2130000;0;1;1;1;1;0;1;0;0;0
#;180030;0;0;2070000;0;1;1;1;1;0;1;0;0;0
#;180020;0;0;400000;0;1;1;1;1;0;1;0;0;0
#;180050;0;0;1250000;0;1;1;1;1;0;1;0;0;0
