#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
;15216;left;0;890000;0;1;1;1;1;0;1;0;1;1
;15216;right;0;890000;0;1;1;1;1;0;1;0;0;1
;152161;left;0;890000;0;1;1;1;1;0;1;0;0;0
;152162;right;0;890000;0;1;1;1;1;0;1;0;0;0
;15218;left;0;210000;0;1;1;1;1;0;1;0;1;1
;15218;right;0;210000;0;1;1;1;1;0;1;0;1;1
;152182;right;0;210000;0;1;1;1;1;0;1;0;0;0
;152181;left;0;210000;0;1;1;1;1;0;1;0;0;0
#;15219;right;0;8000000;0;1;1;1;1;0;1;0;0;1
#;15219;left;0;8000000;0;1;1;1;1;0;1;0;0;1
