#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#110XX;;;;;;;;;;;;;;
#RHT1;;;;;;;;;;;;;;
;110021;left;0;350000;0;1;1;1;1;0;1;1;0;0
;120022;right;0;560000;0;1;1;1;1;0;1;1;0;0
;110012;right;0;30000;0;1;1;1;1;0;1;1;0;0
;120101;left;0;500000;0;1;1;1;1;0;1;1;0;0
;120051;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120001;left;0;250000;0;1;1;1;1;0;1;0;0;0
;110011;left;0;30000;0;1;1;1;1;0;1;1;0;0
;120042;right;0;1000000;0;1;1;1;1;0;1;1;0;0
;120041;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;110001;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120081;left;0;500000;0;1;1;1;1;0;1;1;0;0
;120031;left;0;1000000;0;1;1;1;1;0;1;2;0;0
;120002;right;0;250000;0;1;1;1;1;0;1;1;0;0
;120032;right;0;1000000;0;1;1;1;1;0;1;1;0;0
;120021;left;0;560000;0;1;1;1;1;0;1;1;0;0
;110022;right;0;350000;0;1;1;1;1;0;1;4;0;0
;120121;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120071;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120111;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120092;right;0;500000;0;1;1;1;1;0;1;1;0;0
;110021;left;0;350000;0;1;1;1;1;0;1;1;0;0
;120022;right;0;560000;0;1;1;1;1;0;1;1;0;0
;110012;right;0;30000;0;1;1;1;1;0;1;1;0;0
;120052;right;0;1000000;0;1;1;1;1;0;1;1;0;0
;120101;left;0;500000;0;1;1;1;1;0;1;1;0;0
;120082;right;0;500000;0;1;1;1;1;0;1;1;0;0
;120051;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120001;left;0;250000;0;1;1;1;1;0;1;0;0;0
;110011;left;0;30000;0;1;1;1;1;0;1;1;0;0
;120042;right;0;1000000;0;1;1;1;1;0;1;1;0;0
;120041;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;110001;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120072;right;0;1000000;0;1;1;1;1;0;1;1;0;0
;120081;left;0;500000;0;1;1;1;1;0;1;1;0;0
;120031;left;0;1000000;0;1;1;1;1;0;1;2;0;0
;120002;right;0;250000;0;1;1;1;1;0;1;1;0;0
;120102;right;0;500000;0;1;1;1;1;0;1;1;0;0
;120032;right;0;1000000;0;1;1;1;1;0;1;1;0;0
;120021;left;0;560000;0;1;1;1;1;0;1;1;0;0
;110022;right;0;350000;0;1;1;1;1;0;1;4;0;0
;120121;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120071;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120122;right;0;1000000;0;1;1;1;1;0;1;1;0;0
;141030;0;0;1000000;0;1;1;1;1;0;1;1;0;0
;120111;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120092;right;0;500000;0;1;1;1;1;0;1;1;0;0
;110021;left;0;350000;0;1;1;1;1;0;1;1;0;0
;120022;right;0;560000;0;1;1;1;1;0;1;1;0;0
;110012;right;0;30000;0;1;1;1;1;0;1;1;0;0
;141000;0;0;1000000;0;1;1;1;1;0;1;1;0;0
;120052;right;0;1000000;0;1;1;1;1;0;1;1;0;0
