11000,1000000
11001,40000
11002,350000
11003,460000
11004,1000000
11005,1000000
11006,250000
11007,1000000
11008,250000
11009,250000
11010,1000000
12000,250000
12001,500000
12002,560000
12003,1000000
12004,1000000
12005,1000000
12006,1000000
12007,1000000
12008,500000
12009,500000
12010,500000
12011,1000000
12012,1000000
12013,200000
12014,250000
12015,500000
12016,20000
12017,1000000
13002,1000000
13003,2000000
13004,2000000
13005,3370000
13006,1450000
13007,4000000
13008,1000000
13009,3000000
13010,2000000
13011,3080000
13012,2000000
13013,4000000
13014,4000000
13015,4000000
13016,2000000
13017,2000000
13018,4000000
13019,1500000
13020,2000000
13021,2000000
13022,2000000
13023,500000
13024,1500000
13025,500000
13026,2500000
13994,100000
13995,260000
14000,100000
14001,100000
14002,70000
14003,100000
14004,180000
14005,500000
14006,1000000
14007,500000
14008,1000000
14009,2000000
14010,1000000
14011,240000
14012,200000
14013,500000
14014,1000000
14015,500000
14016,1000000
14017,2000000
14018,1000000
14019,2000000
14020,1000000
14021,2000000
14022,2000000
14023,2000000
14024,2000000
14100,1000000
14101,350000
14102,1000000
14103,1000000
14104,1000000
14105,1000000
14106,1000000
14107,1000000
14108,1000000
14109,1000000
14110,1000000
14111,1000000
14112,150000
14113,100000
14114,500000
14666,10000
15000,400000
15001,1000000
15002,1000000
15003,400000
15004,1000000
15005,1000000
15006,400000
15007,1000000
15008,1000000
15009,400000
15010,400000
15011,1000000
15012,1000000
15013,400000
15014,400000
15015,400000
15016,400000
15017,50000
15018,1000000
15100,400000
15101,400000
15102,400000
15103,400000
15104,250000
15200,400000
15201,400000
15202,400000
15203,400000
15204,1000000
15205,400000
15206,400000
15207,1000000
15208,1000000
15209,1000000
15210,400000
15211,400000
15212,400000
15666,0
15213,400000
15214,100000
15215,880000
15216,890000
15217,50000
15218,210000
15219,1000000
16000,400000
16001,1000000
16002,400000
16003,1000000
16004,400000
16005,500000
16006,400000
16007,1000000
16008,400000
16009,800000
16010,400000
16011,800000
16100,400000
16101,1000000
16102,400000
16103,1000000
16104,1000000
16105,400000
16106,400000
16107,400000
16108,400000
16200,400000
16201,1000000
16202,400000
16203,1000000
16300,400000
16301,400000
16302,400000
16303,1000000
16304,400000
16305,1000000
16306,400000
16307,1000000
16308,400000
16309,1000000
16310,400000
16311,170000
16312,400000
16313,400000
16314,400000
16315,400000
16316,400000
16999,30000
17000,180000
17001,190000
17002,100000
17003,200000
17004,400000
17005,400000
17006,90000
17007,540000
17008,120000
17009,310000
17010,60000
17011,200000
17100,400000
17101,1000000
17102,80000
17103,400000
17104,680000
17105,150000
17106,150000
17107,1100000
17108,1270000
17200,750000
17201,50000
17202,750000
17203,750000
17204,750000
17205,750000
17206,50000
17207,400000
17208,1000000
17209,750000
17210,400000
17211,1000000
17212,750000
17213,200000
17214,200000
17215,750000
17216,750000
16100,400000
16101,1000000
16102,400000
16103,1000000
16104,1000000
16105,400000
16106,400000
16107,400000
16108,400000
16302,400000
16303,1000000
16306,400000
16307,1000000
17100,400000
17101,1000000
17102,80000
17103,400000
17104,680000
17105,150000
17106,150000
17107,1100000
17200,750000
17202,750000
17203,750000
17204,750000
17207,400000
17208,1000000
17209,750000
17210,400000
17211,1000000
17212,750000
17215,750000
17216,750000
17300,400000
17301,400000
17302,1000000
17303,400000
17304,400000
17305,1000000
17306,400000
17307,1000000
17308,400000
17309,990000
666,10000
667,30000
668,20000
